IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
45.202.243.33,443,TRUE,LAX,US,California,,,AS61112
103.117.101.109,443,TRUE,HKG,HK,,,,AS906
45.202.242.163,443,TRUE,LAX,US,California,,,AS61112
179.255.98.220,443,TRUE,LAX,US,California,,,AS906
45.202.242.132,443,TRUE,LAX,US,California,,,AS61112
45.192.206.43,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.231.117.95,443,TRUE,NRT,JP,Tokyo,,,AS61112
179.253.225.34,443,TRUE,LAX,US,California,,,AS906
179.255.152.88,443,TRUE,LAX,US,California,,,AS906
141.11.86.35,443,TRUE,TPE,TW,Taiwan,,,AS61112
156.231.115.120,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.224.78.162,443,TRUE,HKG,HK,,,,AS61112
82.152.91.222,443,TRUE,TPE,TW,Taiwan,,,AS38136
156.224.77.87,443,TRUE,HKG,HK,,,,AS61112
45.202.247.198,443,TRUE,HKG,MO,,,,AS61112
151.242.125.197,443,TRUE,HKG,HK,,,,AS61112
45.192.206.151,443,TRUE,NRT,JP,Tokyo,,,AS61112
185.155.235.58,443,TRUE,HKG,HK,,,,AS61112
179.253.250.120,443,TRUE,LAX,US,California,,,AS906
203.55.176.212,443,TRUE,SIN,SG,,,,AS8888
185.155.235.235,443,TRUE,HKG,HK,,,,AS61112
185.81.28.39,443,TRUE,SIN,SG,,,,AS61112
154.83.87.218,443,TRUE,HKG,HK,,,,AS61112
45.149.186.55,443,TRUE,HKG,HK,,,,AS61112
191.223.210.0,443,TRUE,HKG,HK,,,,AS906
179.255.101.54,443,TRUE,LAX,US,California,,,AS906
45.202.248.172,443,TRUE,HKG,HK,,,,AS61112
45.192.206.184,443,TRUE,NRT,JP,Tokyo,,,AS61112
179.253.230.75,443,TRUE,LAX,US,California,,,AS906
45.92.158.89,443,TRUE,SIN,SG,,,,AS8888
23.158.136.15,443,TRUE,LAX,US,California,,,AS61112
45.8.186.20,443,TRUE,HKG,HK,,,,AS61112
45.202.242.11,443,TRUE,LAX,US,California,,,AS61112
154.26.189.91,443,TRUE,LAX,US,California,,,AS906
45.192.206.187,443,TRUE,NRT,JP,Tokyo,,,AS61112
191.222.216.205,443,TRUE,HKG,HK,,,,AS906
191.223.212.83,443,TRUE,HKG,HK,,,,AS906
191.223.209.40,443,TRUE,HKG,HK,,,,AS906
191.223.217.74,443,TRUE,HKG,HK,,,,AS906
151.242.125.29,443,TRUE,HKG,HK,,,,AS61112
154.83.95.6,443,TRUE,NRT,JP,Tokyo,,,AS61112
64.186.251.83,443,TRUE,LAX,US,California,,,AS906
50.114.55.58,443,TRUE,SIN,SG,,,,AS61112
179.255.148.79,443,TRUE,LAX,US,California,,,AS906
179.255.151.30,443,TRUE,LAX,US,California,,,AS906
203.55.176.251,443,TRUE,SIN,SG,,,,AS8888
156.246.95.216,443,TRUE,NRT,JP,Tokyo,,,AS61112
203.55.176.47,443,TRUE,SIN,SG,,,,AS8888
104.192.92.148,443,TRUE,SIN,SG,,,,AS61112
103.135.250.133,443,TRUE,HKG,HK,,,,AS906
179.253.225.172,443,TRUE,LAX,US,California,,,AS906
45.192.248.36,443,TRUE,NRT,JP,Tokyo,,,AS61112
166.0.198.193,443,TRUE,TPE,TW,Taiwan,,,AS61112
179.253.238.221,443,TRUE,LAX,US,California,,,AS906
156.224.79.5,443,TRUE,HKG,HK,,,,AS61112
179.253.236.5,443,TRUE,LAX,US,California,,,AS906
45.202.245.177,443,TRUE,NRT,JP,Tokyo,,,AS61112
151.242.164.205,443,TRUE,NRT,JP,Tokyo,,,AS51847
45.202.242.128,443,TRUE,LAX,US,California,,,AS61112
45.207.158.243,443,TRUE,HKG,HK,,,,AS9269
45.202.248.234,443,TRUE,HKG,HK,,,,AS61112
156.224.76.205,443,TRUE,HKG,HK,,,,AS61112
156.226.174.20,443,TRUE,FRA,DE,Hesse,,,AS61112
96.9.211.91,443,TRUE,SIN,SG,,,,AS8888
154.17.26.99,443,TRUE,LAX,US,California,,,AS906
154.17.17.179,443,TRUE,LAX,US,California,,,AS906
50.114.55.46,443,TRUE,SIN,SG,,,,AS61112
156.231.116.70,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.207.156.131,443,TRUE,HKG,HK,,,,AS61112
156.226.169.122,443,TRUE,HKG,HK,,,,AS61112
83.147.13.61,443,TRUE,TPE,TW,Taiwan,,,AS38136
156.231.112.26,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.243.244.138,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.8.186.78,443,TRUE,HKG,HK,,,,AS61112
45.192.206.135,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.59.186.102,443,TRUE,LAX,US,California,,,AS906
45.192.207.40,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.192.204.72,443,TRUE,HKG,HK,,,,AS61112
156.246.93.242,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.39.199.233,443,TRUE,HKG,HK,,,,AS61112
45.89.219.13,443,TRUE,SIN,SG,,,,AS8888
45.192.249.158,443,TRUE,NRT,JP,Tokyo,,,AS61112
179.255.154.39,443,TRUE,LAX,US,California,,,AS906
179.255.144.140,443,TRUE,LAX,US,California,,,AS906
179.253.234.128,443,TRUE,LAX,US,California,,,AS906
156.246.91.88,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.231.113.115,443,TRUE,NRT,JP,Tokyo,,,AS61112
82.152.91.210,443,TRUE,TPE,TW,Taiwan,,,AS38136
179.253.246.191,443,TRUE,LAX,US,California,,,AS906
141.11.91.16,443,TRUE,HKG,HK,,,,AS61112
23.158.136.185,443,TRUE,LAX,US,California,,,AS61112
154.17.31.116,443,TRUE,LAX,US,California,,,AS906
179.255.98.67,443,TRUE,LAX,US,California,,,AS906
38.207.130.185,443,TRUE,NRT,JP,Tokyo,,,AS61112
179.255.146.162,443,TRUE,LAX,US,California,,,AS906
154.17.29.72,443,TRUE,LAX,US,California,,,AS906
156.226.168.252,443,TRUE,HKG,HK,,,,AS61112
103.135.251.183,443,TRUE,HKG,HK,,,,AS906
23.158.136.220,443,TRUE,LAX,US,California,,,AS61112
154.83.95.25,443,TRUE,NRT,JP,Tokyo,,,AS61112
69.63.206.20,443,TRUE,LAX,US,California,,,AS906
45.128.222.124,443,TRUE,SIN,SG,,,,AS8888
179.253.226.191,443,TRUE,LAX,US,California,,,AS906
103.117.101.93,443,TRUE,HKG,HK,,,,AS906
185.81.28.101,443,TRUE,SIN,SG,,,,AS61112
45.202.245.214,443,TRUE,NRT,JP,Tokyo,,,AS51847
82.153.135.219,443,TRUE,SIN,SG,,,,AS61112
179.253.250.0,443,TRUE,LAX,US,California,,,AS906
45.202.240.60,443,TRUE,LAX,US,California,,,AS61112
179.253.248.6,443,TRUE,LAX,US,California,,,AS906
45.149.186.154,443,TRUE,HKG,HK,,,,AS61112
179.253.248.201,443,TRUE,LAX,US,California,,,AS906
45.207.156.183,443,TRUE,HKG,HK,,,,AS61112
64.186.227.15,443,TRUE,LAX,US,California,,,AS906
179.253.246.55,443,TRUE,LAX,US,California,,,AS906
154.17.20.66,443,TRUE,LAX,US,California,,,AS906
96.9.213.204,443,TRUE,SIN,SG,,,,AS8888
83.147.13.49,443,TRUE,TPE,TW,Taiwan,,,AS38136
83.147.15.86,443,TRUE,TPE,TW,Taiwan,,,AS38136
185.126.80.83,443,TRUE,SIN,SG,,,,AS61112
178.253.32.201,443,TRUE,HKG,MO,,,,AS61112
65.49.231.168,443,TRUE,LAX,US,California,,,AS25820
45.202.245.178,443,TRUE,NRT,JP,Tokyo,,,AS61112
141.98.199.148,443,TRUE,SIN,SG,,,,AS8888
156.246.89.136,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.231.116.40,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.192.206.218,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.226.168.122,443,TRUE,HKG,HK,,,,AS61112
50.114.55.60,443,TRUE,SIN,SG,,,,AS61112
167.253.159.63,443,TRUE,SIN,SG,,,,AS8888
179.255.146.196,443,TRUE,LAX,US,California,,,AS906
